,room_type_Entire home/apt,accommodates,gym,bedrooms,dishwasher,kitchen,longitude,room_type_Hotel room,latitude,refrigerator,cable_tv,pool,neighbourhood_Near North Side,reviews_per_month,neighbourhood_Albany Park,indoor_fireplace,minimum_nights,calculated_host_listings_count,availability_365,iron,neighbourhood_Loop,washer,room_type_Shared room,review_scores_rating,number_of_reviews,neighbourhood_Lincoln Park,neighbourhood_Washington Park,heating,hair_dryer,stove,neighbourhood_Lake View,neighbourhood_Logan Square,neighbourhood_Near West Side,room_type_Private room,maximum_nights,neighbourhood_East Garfield Park,hot_water,microwave,neighbourhood_South Chicago,neighbourhood_Uptown,neighbourhood_Belmont Cragin,neighbourhood_Oakland,neighbourhood_Englewood,neighbourhood_New City,neighbourhood_Austin,dryer,neighbourhood_Dunning
3264,1,1.6094379124341003,0,2.0,0,1,-87.57839,0,41.73818,1,0,0,0,-0.2613647641344075,0,0,1.0986122886681098,0.0,0,1,0,0,0,1.5644405465033646,2.8903717578961645,0,0,1,1,1,0,0,0,0,7.025538314638521,0,0,1,0,0,0,0,0,0,0,1,0
3265,1,2.302585092994046,0,4.0,1,1,-87.70435,0,41.924040000000005,1,1,0,0,1.199964782928397,0,0,0.6931471805599453,0.6931471805599453,290,1,0,1,0,1.589235205116581,4.356708826689592,0,0,1,1,1,0,1,0,0,4.499809670330265,0,2,1,0,0,0,0,0,0,0,2,0
3266,1,1.3862943611198906,0,2.0,1,1,-87.64144,0,41.91496,1,0,0,0,0.3074846997479607,0,0,0.6931471805599453,3.7376696182833684,86,1,0,1,0,1.5325568680981427,3.4011973816621555,1,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3267,1,1.0986122886681098,1,2.0,1,1,-87.6257,0,41.88556,1,0,1,0,1.6882490928583902,0,0,1.0986122886681098,1.6094379124341003,157,1,1,1,0,1.5973653311998313,4.653960350157523,0,0,1,1,1,0,0,0,0,5.703782474656201,0,1,1,0,0,0,0,0,0,0,2,0
3268,1,1.791759469228055,0,2.0,1,1,-87.58599,0,41.73513,1,1,0,0,-2.4079456086518722,0,0,1.0986122886681098,0.6931471805599453,334,1,0,0,0,1.5040773967762742,0.6931471805599453,0,0,1,1,1,0,0,0,0,3.4011973816621555,0,1,1,0,0,0,0,0,0,0,1,0
3269,0,1.3862943611198906,0,2.0,0,0,-87.70000999999999,0,42.01477,1,0,0,0,-1.0498221244986778,0,0,0.0,0.0,0,0,0,0,0,1.6094379124341003,2.0794415416798357,0,0,1,1,0,0,0,0,1,0.6931471805599453,0,1,0,0,0,0,0,0,0,0,1,0
3270,1,0.6931471805599453,1,1.0,1,1,-87.62138,0,41.89862,1,0,0,1,-2.3025850929940455,0,0,3.4657359027997265,4.48863636973214,251,1,0,1,0,1.6094379124341003,0.6931471805599453,0,0,1,1,1,0,0,0,0,7.024649030453636,0,1,1,0,0,0,0,0,0,0,2,0
3271,0,0.6931471805599453,0,1.0,1,1,-87.67447,0,41.907959999999996,1,1,0,0,-1.6094379124341003,0,1,0.0,0.6931471805599453,260,1,0,1,0,1.6094379124341003,1.6094379124341003,0,0,1,1,1,0,0,0,1,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
3272,1,1.9459101490553132,0,3.0,0,1,-87.72209000000001,0,41.923190000000005,1,1,0,0,2.211565694606877,0,0,0.6931471805599453,0.0,195,1,0,1,0,1.6054298910365616,4.51085950651685,0,0,1,1,1,0,1,0,0,4.0943445622221,0,1,1,0,0,0,0,0,0,0,2,0
3273,1,2.0794415416798357,1,3.0,1,1,-87.61633,0,41.88612,1,1,1,0,0.09531017980432493,0,1,1.0986122886681098,1.6094379124341003,169,1,1,1,0,1.5325568680981427,3.1780538303479458,0,0,1,1,1,0,0,0,0,7.025538314638521,0,1,1,0,0,0,0,0,0,0,2,0
